,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
106,64,8.0,2.4755573109999998,"[1, 0, 1, 1, 0]",25,512,9
107,128,8.0,2.523655906,"[1, 0, 1, 1, 0]",25,512,9
108,256,8.0,2.592341545,"[1, 0, 1, 1, 0]",25,512,9
109,512,8.0,2.7056869489999995,"[1, 0, 1, 1, 0]",25,512,9
110,0,0.0,2.735806599,"[0, 1, 1, 1, 1]",25,512,10
111,1,0.0,2.7363098,"[0, 1, 1, 1, 1]",25,512,10
112,2,9.0,2.7671227099999998,"[0, 1, 1, 1, 0]",25,512,10
113,4,9.0,2.798111436,"[0, 1, 1, 1, 0]",25,512,10
114,8,9.0,2.830705988,"[0, 1, 1, 1, 0]",25,512,10
115,16,9.0,2.8640739899999996,"[0, 1, 1, 1, 0]",25,512,10
116,32,9.0,2.9032811030000003,"[0, 1, 1, 1, 0]",25,512,10
117,64,9.0,2.949388163,"[0, 1, 1, 1, 0]",25,512,10
118,128,9.0,3.003735795,"[0, 1, 1, 1, 0]",25,512,10
119,256,9.0,3.08095417,"[0, 1, 1, 1, 0]",25,512,10
120,512,9.0,3.2115155609999997,"[0, 1, 1, 1, 0]",25,512,10
121,0,7.0,3.245491717,"[1, 1, 0, 1, 0]",25,512,11
122,1,7.0,3.2460504070000002,"[1, 1, 0, 1, 0]",25,512,11
123,2,7.0,3.280110789,"[1, 1, 0, 1, 0]",25,512,11
124,4,7.0,3.3142157039999995,"[1, 1, 0, 1, 0]",25,512,11
125,8,7.0,3.348310434,"[1, 1, 0, 1, 0]",25,512,11
126,16,7.0,3.384940307,"[1, 1, 0, 1, 0]",25,512,11
127,32,7.0,3.42248647,"[1, 1, 0, 1, 0]",25,512,11
128,64,7.0,3.468626811,"[1, 1, 0, 1, 0]",25,512,11
129,128,7.0,3.52684672,"[1, 1, 0, 1, 0]",25,512,11
130,256,7.0,3.61264098,"[1, 1, 0, 1, 0]",25,512,11
131,512,7.0,3.7504614949999997,"[1, 1, 0, 1, 0]",25,512,11
132,0,5.0,3.7868772010000002,"[0, 1, 1, 0, 0]",25,512,12
133,1,6.0,3.7874936219999995,"[1, 1, 1, 0, 0]",25,512,12
134,2,6.0,3.8239131749999995,"[1, 1, 1, 0, 0]",25,512,12
135,4,6.0,3.860597855,"[1, 1, 1, 0, 0]",25,512,12
136,8,6.0,3.8977224560000003,"[1, 1, 1, 0, 0]",25,512,12
137,16,6.0,3.936375293,"[1, 1, 1, 0, 0]",25,512,12
138,32,6.0,3.9768766849999997,"[1, 1, 1, 0, 0]",25,512,12
139,64,6.0,4.025131443,"[1, 1, 1, 0, 0]",25,512,12
140,128,6.0,4.091510208,"[1, 1, 1, 0, 0]",25,512,12
141,256,6.0,4.180381525,"[1, 1, 1, 0, 0]",25,512,12
142,512,6.0,4.325313076,"[1, 1, 1, 0, 0]",25,512,12
143,0,0.0,4.364073416,"[0, 0, 0, 0, 0]",25,512,13
144,1,4.0,4.364747576,"[0, 0, 0, 1, 0]",25,512,13
145,2,4.0,4.404554488,"[0, 0, 0, 1, 0]",25,512,13
146,4,7.0,4.443370759,"[0, 0, 1, 1, 0]",25,512,13
147,8,7.0,4.4834310969999995,"[0, 0, 1, 1, 0]",25,512,13
148,16,8.0,4.523253714,"[1, 0, 1, 1, 0]",25,512,13
149,32,8.0,4.569758159,"[1, 0, 1, 1, 0]",25,512,13
