,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
99,0,6.0,7.482899999899928e-05,"[0, 1, 0, 1, 0]",exponential,10000,0.005,0.001,9999.9962585507,10000,512
100,1,2.0,0.0003131910000035987,"[0, 1, 0, 0, 0]",exponential,10000,0.005,0.001,9999.98434046226,10000,512
101,2,3.0,0.028598528999992823,"[1, 1, 0, 0, 0]",exponential,10000,0.005,0.001,9998.57017577961,10000,512
102,4,3.0,0.055888127000002896,"[1, 1, 0, 0, 0]",exponential,10000,0.005,0.001,9997.205984048976,10000,512
103,8,6.0,0.084762832999985,"[0, 1, 0, 1, 0]",exponential,10000,0.005,0.001,9995.762756315371,10000,512
104,16,4.0,0.1130826129999889,"[1, 0, 1, 0, 0]",exponential,10000,0.005,0.001,9994.347467508449,10000,512
105,32,8.0,0.14644342699997992,"[0, 0, 1, 0, 1]",exponential,10000,0.005,0.001,9992.680508705496,10000,512
106,64,3.0,0.17896553299999596,"[1, 1, 0, 0, 0]",exponential,10000,0.005,0.001,9991.055725738846,10000,512
107,128,4.0,0.21342094700000303,"[1, 0, 1, 0, 0]",exponential,10000,0.005,0.001,9989.334644187908,10000,512
108,256,0.0,0.25436730699999544,"[1, 1, 0, 1, 1]",exponential,10000,0.005,0.001,9987.289719063145,10000,512
109,512,0.0,0.30973871899999494,"[1, 1, 1, 1, 0]",exponential,10000,0.005,0.001,9984.525050120874,10000,512
