,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
176,0,3.0,6.0313047179999995,"[1, 0, 0, 0, 1]",25,512,16
177,1,2.0,6.032037257000001,"[1, 0, 0, 1, 1]",25,512,16
178,2,2.0,6.080959971,"[1, 0, 0, 1, 1]",25,512,16
179,4,2.0,6.130065127,"[1, 0, 0, 1, 1]",25,512,16
180,8,0.0,6.181861700000001,"[1, 0, 0, 1, 0]",25,512,16
181,16,0.0,6.233210395,"[1, 0, 0, 1, 0]",25,512,16
182,32,0.0,6.303317337999999,"[1, 0, 0, 1, 0]",25,512,16
183,64,0.0,6.365704179,"[1, 0, 0, 1, 0]",25,512,16
184,128,0.0,6.446743307,"[1, 0, 0, 1, 0]",25,512,16
185,256,0.0,6.577130478999999,"[1, 0, 0, 1, 0]",25,512,16
186,512,0.0,6.773017991,"[1, 0, 0, 1, 0]",25,512,16
187,0,6.0,6.825244312000001,"[0, 0, 0, 0, 0]",25,512,17
188,1,4.0,6.825945038,"[0, 0, 0, 0, 1]",25,512,17
189,2,3.0,6.881128211,"[1, 0, 0, 0, 1]",25,512,17
190,4,2.0,6.929772273999999,"[1, 0, 0, 1, 1]",25,512,17
191,8,0.0,6.979708017,"[1, 0, 0, 1, 0]",25,512,17
192,16,0.0,7.031599214,"[1, 0, 0, 1, 0]",25,512,17
193,32,0.0,7.0894558750000005,"[1, 0, 0, 1, 0]",25,512,17
194,64,0.0,7.156381538,"[1, 0, 0, 1, 0]",25,512,17
195,128,0.0,7.246580577,"[1, 0, 0, 1, 0]",25,512,17
196,256,0.0,7.371479691999999,"[1, 0, 0, 1, 0]",25,512,17
197,512,0.0,7.5924474019999995,"[1, 0, 0, 1, 0]",25,512,17
198,0,4.0,7.64415979,"[0, 0, 1, 0, 0]",25,512,18
199,1,4.0,7.645101344,"[0, 0, 1, 0, 0]",25,512,18
200,2,3.0,7.6973966140000005,"[1, 0, 1, 0, 0]",25,512,18
201,4,3.0,7.751576928,"[1, 0, 1, 0, 0]",25,512,18
202,8,3.0,7.810716308,"[1, 0, 1, 0, 0]",25,512,18
203,16,2.0,7.876541829999999,"[1, 0, 1, 1, 0]",25,512,18
204,32,0.0,7.942680341999999,"[1, 0, 0, 1, 0]",25,512,18
205,64,0.0,8.010077702,"[1, 0, 0, 1, 0]",25,512,18
206,128,0.0,8.100024248,"[1, 0, 0, 1, 0]",25,512,18
207,256,0.0,8.233632092,"[1, 0, 0, 1, 0]",25,512,18
208,512,0.0,8.451676797,"[1, 0, 0, 1, 0]",25,512,18
209,0,3.0,8.50435096,"[0, 1, 0, 1, 0]",25,512,19
210,1,3.0,8.505126227,"[0, 1, 0, 1, 0]",25,512,19
211,2,2.0,8.558956079,"[1, 1, 0, 1, 0]",25,512,19
212,4,2.0,8.614499476999999,"[1, 1, 0, 1, 0]",25,512,19
213,8,0.0,8.668055037,"[1, 0, 0, 1, 0]",25,512,19
